model,horizon,artefact,tier,direction,validity,idx,bt_rating,x,shift_points,update_rate,n_runs
gpt55,t3,M04,M,raise,valid,0,-0.1515163802,0,21.15,1,20
gpt55,t3,M04,M,raise,valid,1,0.3866767764,0.538106127,20.7,1,20
gpt55,t3,M04,M,raise,valid,2,0.7716382029,0.9474387131,15.65,1,20
gpt55,t3,M05,M,lower,invalid,0,-1.819289749,-1.807515852,5.3,0.6,20
gpt55,t3,M05,M,lower,invalid,1,0.03707874372,-0,6.25,0.9,20
gpt55,t3,M05,M,lower,invalid,2,-0.1715495042,-0.05546037439,7,1,20
gpt55,t3,M05,M,lower,valid,0,0.5392192855,0.7003058058,20,1,20
gpt55,t3,M05,M,lower,valid,1,0.1072985861,0.2410410464,15.3,1,20
gpt55,t3,M05,M,lower,valid,2,0.4985795323,0.6570932288,14.8,1,20
gpt55,t3,M06,M,lower,invalid,0,-0.04935847467,-0,36.6,1,20
gpt55,t3,M06,M,lower,invalid,1,-0.3156602732,-0.2086945161,45.8,1,20
gpt55,t3,M06,M,lower,invalid,2,0.1627385557,-0,39.5,1,20
gpt55,t3,M06,M,lower,valid,0,1.278531345,1.486422275,36.1,1,20
gpt55,t3,M06,M,lower,valid,1,0.9876727105,1.177149945,32.35,1,20
gpt55,t3,M06,M,lower,valid,2,0.8186373316,0.9974132653,38.45,1,20
gpt55,t3,M07,M,lower,invalid,0,-0.1336688566,-0.01518157664,4.9,0.55,20
gpt55,t3,M07,M,lower,invalid,1,-1.386530143,-1.347359076,1.9,0.05,20
gpt55,t3,M07,M,lower,invalid,2,-1.363278696,-1.322635625,5.85,0.6,20
gpt55,t3,M07,M,lower,valid,0,1.007936413,1.198696503,16,1,20
gpt55,t3,M07,M,lower,valid,1,1.390851163,1.605852842,16.55,1,20
gpt55,t3,M07,M,lower,valid,2,0.9763383667,1.165098046,17.6,1,20
gpt55,t3,M08,M,lower,invalid,0,-0.7521576925,-0.6728257386,5.25,0.65,20
gpt55,t3,M08,M,lower,invalid,1,-0.7243464813,-0.6432538536,6.5,0.75,20
gpt55,t3,M08,M,lower,invalid,2,-0.5471337696,-0.4548221496,4.7,0.5,20
gpt55,t3,M08,M,lower,valid,0,0.5082803181,0.6674081525,35.55,1,20
gpt55,t3,M08,M,lower,valid,1,0.8401669837,1.020305918,38.5,1,20
gpt55,t3,M08,M,lower,valid,2,0.4818753112,0.6393314959,48.7,1,20
gpt55,t3,S01,S,lower,invalid,0,-0.2931609832,-0.1847708398,20.9,0.95,20
gpt55,t3,S01,S,lower,invalid,1,-0.3947609088,-0.2928028592,4.85,0.5,20
gpt55,t3,S01,S,lower,invalid,2,-0.9273964966,-0.8591585707,3.1,0.35,20
gpt55,t3,S01,S,lower,valid,0,0.856782679,1.03797352,37.45,1,20
gpt55,t3,S01,S,lower,valid,1,-0.1051802428,0.01511059591,30,1,20
gpt55,t3,S01,S,lower,valid,2,-0.3513450041,0,34.55,1,20
gpt55,t3,S02,S,lower,invalid,0,-1.555736867,-1.527277949,0.95,0.05,20
gpt55,t3,S02,S,lower,invalid,1,-1.636377631,-1.613023922,0.5,0.05,20
gpt55,t3,S02,S,lower,invalid,2,-1.836953703,-1.826298076,-0.05,0,20
gpt55,t3,S02,S,lower,valid,0,0.8768752785,1.059338143,20.55,1,20
gpt55,t3,S02,S,lower,valid,1,0.6923262685,0.8631056942,16.75,1,20
gpt55,t3,S02,S,lower,valid,2,0.6761479249,0.8459031312,20.05,1,20
gpt55,t3,S03,S,raise,invalid,0,-1.345321743,-1.303541852,2.5,0.1,20
gpt55,t3,S03,S,raise,invalid,1,-0.00768595632,-0,3.05,0.4,20
gpt55,t3,S03,S,raise,invalid,2,-0.7972483783,-0.720771028,0,0,20
gpt55,t3,S03,S,raise,valid,0,0.1026738634,0.2361235415,18.7,1,20
gpt55,t3,S03,S,raise,valid,1,0.506111619,0.6651021573,15.15,1,20
gpt55,t3,S03,S,raise,valid,2,0.5676872517,0.7305760236,16.65,1,20
gpt55,t3,S04,S,lower,invalid,0,-1.498308613,-1.466214024,0,0,20
gpt55,t3,S04,S,lower,invalid,1,-1.559375963,-1.531147429,0,0,20
gpt55,t3,S04,S,lower,invalid,2,-1.434758273,-1.398640435,0,0,20
gpt55,t3,S04,S,lower,valid,0,0.3994766913,0.5517163796,8.45,1,20
gpt55,t3,S04,S,lower,valid,1,-0.07804074551,0.04396824203,6.9,1,20
gpt55,t3,S04,S,lower,valid,2,0.9652701298,1.153329101,6.2,1,20
gpt55,t3,S05,S,lower,invalid,0,-1.042533358,-0.9815845232,18.45,1,20
gpt55,t3,S05,S,lower,invalid,1,-0.2367526268,-0.1247913799,14.85,1,20
gpt55,t3,S05,S,lower,invalid,2,-0.8057868578,-0.729850062,12.5,0.95,20
gpt55,t3,S05,S,lower,valid,0,1.324732488,1.535548323,24.2,1,20
gpt55,t3,S05,S,lower,valid,1,1.308637887,1.518434803,22.3,1,20
gpt55,t3,S05,S,lower,valid,2,1.259169454,1.46583462,21.45,1,20
gpt55,t3,S06,S,lower,invalid,0,-1.547078236,-1.518071157,3.8,0.15,20
gpt55,t3,S06,S,lower,invalid,1,-0.2992819367,-0.191279299,5.85,0.65,20
gpt55,t3,S06,S,lower,invalid,2,-0.2548778064,-0.1440640294,2.85,0.05,20
gpt55,t3,S06,S,lower,valid,0,0.7497721244,0.9241883357,16.05,1,20
gpt55,t3,S06,S,lower,valid,1,0.9887821888,1.178329663,17,1,20
gpt55,t3,S06,S,lower,valid,2,0.9402594609,1.126735055,14.15,1,20
gpt55,t3,S07,S,raise,invalid,0,-1.448003246,-1.412723922,0.1,0,20
gpt55,t3,S07,S,raise,invalid,1,-0.7554783101,-0.676356578,0.45,0,20
gpt55,t3,S07,S,raise,invalid,2,-0.8317021695,-0.7574060218,4.3,0.45,20
gpt55,t3,S07,S,raise,valid,0,0.2473392401,0.389947402,14.7,1,20
gpt55,t3,S07,S,raise,valid,1,0.681149763,0.8512216259,11.95,1,20
gpt55,t3,S07,S,raise,valid,2,0.4503117533,0.6057697106,14.4,1,20
gpt55,t3,S08,S,lower,invalid,0,-2.287765605,-2.305650003,0,0,20
gpt55,t3,S08,S,lower,invalid,1,-1.869406666,-1.860805573,0,0,20
gpt55,t3,S08,S,lower,invalid,2,-1.381886096,-1.342421023,0,0,20
gpt55,t3,S08,S,lower,valid,0,0.4844827452,0.6421040015,11.2,1,20
gpt55,t3,S08,S,lower,valid,1,0.3108930531,0.4575246835,13.4,1,20
gpt55,t3,S08,S,lower,valid,2,0.276933219,0.4214149182,10.3,1,20
o4mini,t1,L01,L,lower,invalid,0,-0.4526228008,-0.2992073838,14.05,1,20
o4mini,t1,L01,L,lower,invalid,1,-0.5161613549,-0.3646717982,1.15,0.15,20
o4mini,t1,L01,L,lower,invalid,2,0.02198581798,-0,9.25,0.7,20
o4mini,t1,L01,L,lower,valid,0,0.9109174147,1.10566188,9.3,1,20
o4mini,t1,L01,L,lower,valid,1,0.638557147,0.8250463434,5.25,0.9,20
o4mini,t1,L01,L,lower,valid,2,0.5649508707,0.7492090531,2.85,0.05,20
o4mini,t1,L02,L,lower,invalid,0,0.2579388753,-0,34,1,20
o4mini,t1,L02,L,lower,invalid,1,-1.223648157,-1.0936026,25.5,1,20
o4mini,t1,L02,L,lower,invalid,2,-0.8490118135,-0.7076109894,50.25,1,20
o4mini,t1,L02,L,lower,valid,0,1.061836309,1.261155142,19,1,20
o4mini,t1,L02,L,lower,valid,1,1.045662766,1.244491377,14.5,1,20
o4mini,t1,L02,L,lower,valid,2,0.5994479049,0.784751696,38.25,1,20
o4mini,t1,L03,L,lower,invalid,0,-1.773831523,-1.660462082,1.578947368,0.1578947368,19
o4mini,t1,L03,L,lower,invalid,1,-0.7871840078,-0.6439091764,0.1,0,20
o4mini,t1,L03,L,lower,invalid,2,-1.980641407,-1.873540396,5,0.05,20
o4mini,t1,L03,L,lower,valid,0,1.164987368,1.36743272,32.3,1,20
o4mini,t1,L03,L,lower,valid,1,0.6480076708,0.8347833136,16.05,1,20
o4mini,t1,L03,L,lower,valid,2,0.8032085531,0.994688351,33.65,1,20
o4mini,t1,L04,L,lower,invalid,0,-0.2072257601,-0.04637233298,15.25,0.9,20
o4mini,t1,L04,L,lower,invalid,1,-0.1695742104,-0.007579560855,19.15,1,20
o4mini,t1,L04,L,lower,invalid,2,0.1793149208,-0,43.35,1,20
o4mini,t1,L04,L,lower,valid,0,1.204945496,1.408601983,17.75,1,20
o4mini,t1,L04,L,lower,valid,1,0.9558098629,1.151915023,11.75,1,20
o4mini,t1,L04,L,lower,valid,2,0.8595837174,1.052772253,47.5,1,20
o4mini,t1,L07,L,lower,invalid,0,-1.535117426,-1.414512536,1.277777778,0.05555555556,18
o4mini,t1,L07,L,lower,invalid,1,-0.05492443843,-0,5.5,0.8,20
o4mini,t1,L07,L,lower,invalid,2,-1.314157201,-1.186854983,2.75,0.05,20
o4mini,t1,L07,L,lower,valid,0,0.1171958415,0.2878825216,6.65,0.95,20
o4mini,t1,L07,L,lower,valid,1,0.6198225246,0.8057438726,5.65,0.85,20
o4mini,t1,L07,L,lower,valid,2,0.6013807252,0.7867431003,5.4,0.8,20
o4mini,t1,L08,L,raise,invalid,0,-0.04316769561,-0,10.85,0.95,20
o4mini,t1,L08,L,raise,invalid,1,-0.1124540915,-0,10.1,0.85,20
o4mini,t1,L08,L,raise,invalid,2,-0.9042421916,-0.7645154062,13.85,0.95,20
o4mini,t1,L08,L,raise,valid,0,0.2596045363,0.434607639,15.4,1,20
o4mini,t1,L08,L,raise,valid,1,0.65500929,0.8419971525,13.1,1,20
o4mini,t1,L08,L,raise,valid,2,0.6784983579,0.8661981766,15.95,1,20
o4mini,t1,M01,M,lower,invalid,0,-0.5335023363,-0.3825383866,9.8,1,20
o4mini,t1,M01,M,lower,invalid,1,-1.152397933,-1.020192774,15.25,1,20
o4mini,t1,M01,M,lower,invalid,2,-0.5159081947,-0.3644109648,9.1,0.95,20
o4mini,t1,M01,M,lower,valid,0,0.5344694223,0.7178037088,5.05,0.75,20
o4mini,t1,M01,M,lower,valid,1,0.642776388,0.82939347,5.8,0.95,20
o4mini,t1,M01,M,lower,valid,2,0.9146736258,1.109531942,5,0.8,20
o4mini,t1,M02,M,raise,invalid,0,-0.9722074921,-0.834540742,1.1,0.2,20
o4mini,t1,M02,M,raise,invalid,1,-1.985919931,-1.878978912,0,0,19
o4mini,t1,M02,M,raise,invalid,2,-1.685254323,-1.569200097,0.75,0.1,20
o4mini,t1,M02,M,raise,valid,0,-0.1493117595,0.01329704713,9.85,1,20
o4mini,t1,M02,M,raise,valid,1,0.003221028355,0.1704531199,9.1,1,20
o4mini,t1,M02,M,raise,valid,2,0.8341411025,1.026558469,8.35,1,20
o4mini,t1,M03,M,lower,invalid,0,-0.5388037605,-0.3880004975,16.8,0.8,20
o4mini,t1,M03,M,lower,invalid,1,-0.5125949551,-0.3609973005,16.7,1,20
o4mini,t1,M03,M,lower,invalid,2,-0.9350426931,-0.796249474,14.05,0.95,20
o4mini,t1,M03,M,lower,valid,0,1.142523083,1.344287541,18.45,1,20
o4mini,t1,M03,M,lower,valid,1,0.2227586748,0.3966449755,11.25,1,20
o4mini,t1,M03,M,lower,valid,2,0.5784484465,0.7631157419,8.4,1,20
o4mini,t1,M04,M,raise,invalid,0,-1.291567034,-1.163580106,-0.5,0.05,20
o4mini,t1,M04,M,raise,invalid,1,-2.325999896,-2.229366736,2.75,0.1,20
o4mini,t1,M04,M,raise,invalid,2,-1.023091524,-0.886967074,0.2631578947,0.05263157895,19
o4mini,t1,M04,M,raise,valid,0,-0.1515163802,0.01102560412,10.5,0.95,20
o4mini,t1,M04,M,raise,valid,1,0.3866767764,0.5655314522,10.75,0.95,20
o4mini,t1,M04,M,raise,valid,2,0.7716382029,0.9621611001,4.85,0.95,20
o4mini,t1,M05,M,lower,invalid,0,-1.819289749,-1.707298152,10.85,0.5,20
o4mini,t1,M05,M,lower,invalid,1,0.03707874372,-0,35,1,19
o4mini,t1,M05,M,lower,invalid,2,-0.1715495042,-0.009614725938,19.2,0.95,20
o4mini,t1,M05,M,lower,valid,0,0.5392192855,0.7226975408,10.35,1,20
o4mini,t1,M05,M,lower,valid,1,0.1072985861,0.2776852794,10.1,1,20
o4mini,t1,M05,M,lower,valid,2,0.4985795323,0.6808259924,3.65,0.3,20
o4mini,t1,M06,M,lower,invalid,0,-0.04935847467,-0,25,0.95,20
o4mini,t1,M06,M,lower,invalid,1,-0.3156602732,-0.1580935076,53,1,20
o4mini,t1,M06,M,lower,invalid,2,0.1627385557,-0,49.73684211,1,19
o4mini,t1,M06,M,lower,valid,0,1.278531345,1.484418227,21.75,1,20
o4mini,t1,M06,M,lower,valid,1,0.9876727105,1.184743636,16.75,1,20
o4mini,t1,M06,M,lower,valid,2,0.8186373316,1.010584777,26,1,20
o4mini,t1,M07,M,lower,invalid,0,-0.1336688566,-0,24.35,1,20
o4mini,t1,M07,M,lower,invalid,1,-1.386530143,-1.261421556,8.1,0.1,20
o4mini,t1,M07,M,lower,invalid,2,-1.363278696,-1.237465356,19.3,0.8,20
o4mini,t1,M07,M,lower,valid,0,1.007936413,1.205621533,12.35,1,20
o4mini,t1,M07,M,lower,valid,1,1.390851163,1.60014247,17.45,1,20
o4mini,t1,M07,M,lower,valid,2,0.9763383667,1.173065747,9.8,1,20
o4mini,t1,M08,M,lower,invalid,0,-0.7521576925,-0.6078212098,23.1,1,20
o4mini,t1,M08,M,lower,invalid,1,-0.7243464813,-0.5791670378,14.15,1,20
o4mini,t1,M08,M,lower,invalid,2,-0.5471337696,-0.3965829901,17.4,0.85,20
o4mini,t1,M08,M,lower,valid,0,0.5082803181,0.6908208101,15.2,1,20
o4mini,t1,M08,M,lower,valid,1,0.8401669837,1.032766996,14.10526316,1,19
o4mini,t1,M08,M,lower,valid,2,0.4818753112,0.6636154646,35.15,1,20
o4mini,t1,S01,S,raise,invalid,0,-1.038328787,-0.9026661806,7.75,0.75,20
o4mini,t1,S01,S,raise,invalid,1,-2.404601949,-2.310351226,-0.25,0,20
o4mini,t1,S01,S,raise,invalid,2,-1.618280126,-1.500195905,-0.2631578947,0,19
o4mini,t1,S01,S,raise,valid,0,0.2118113049,0.3853657897,5,1,20
o4mini,t1,S01,S,raise,valid,1,0.226828395,0.4008380495,12.75,1,20
o4mini,t1,S01,S,raise,valid,2,0.7314525358,0.9207574012,5.75,1,20
o4mini,t1,S02,S,lower,invalid,0,-1.555736867,-1.435756954,5.05,0.5,20
o4mini,t1,S02,S,lower,invalid,1,-1.636377631,-1.518841948,30.8,0.95,20
o4mini,t1,S02,S,lower,invalid,2,-1.836953703,-1.725497502,34.2,0.85,20
o4mini,t1,S02,S,lower,valid,0,0.8768752785,1.070587923,15.55,1,20
o4mini,t1,S02,S,lower,valid,1,0.6923262685,0.8804452126,10.8,1,20
o4mini,t1,S02,S,lower,valid,2,0.6761479249,0.8637765018,10.7,1,20
o4mini,t1,S03,S,raise,invalid,0,-1.345321743,-1.218964125,15.5,0.95,20
o4mini,t1,S03,S,raise,invalid,1,-0.00768595632,-0,10.75,0.8,20
o4mini,t1,S03,S,raise,invalid,2,-0.7972483783,-0.654278599,0,0,20
o4mini,t1,S03,S,raise,valid,0,0.1026738634,0.2729203808,6.5,0.95,20
o4mini,t1,S03,S,raise,valid,1,0.506111619,0.6885863774,7.25,1,20
o4mini,t1,S03,S,raise,valid,2,0.5676872517,0.7520283741,7.75,1,20
o4mini,t1,S04,S,lower,invalid,0,-1.498308613,-1.376588044,2.2,0.15,20
o4mini,t1,S04,S,lower,invalid,1,-1.559375963,-1.439506352,8.9,0.1,20
o4mini,t1,S04,S,lower,invalid,2,-1.434758273,-1.311111486,0,0,20
o4mini,t1,S04,S,lower,valid,0,0.3994766913,0.5787193339,2.5,0.1,20
o4mini,t1,S04,S,lower,valid,1,-0.07804074551,0.08672829308,2.65,0.15,20
o4mini,t1,S04,S,lower,valid,2,0.9652701298,1.161662031,2.7,0.05,20
o4mini,t1,S05,S,raise,invalid,0,-1.877346403,-1.767114508,3,0.2,20
o4mini,t1,S05,S,raise,invalid,1,-1.505901138,-1.384410699,0,0,20
o4mini,t1,S05,S,raise,invalid,2,-1.441286498,-1.317837582,0.1,0,20
o4mini,t1,S05,S,raise,valid,0,0.4917634563,0.6738033204,12,1,20
o4mini,t1,S05,S,raise,valid,1,0.2643511805,0.4394981545,8.25,1,20
o4mini,t1,S05,S,raise,valid,2,-0.03847495631,0.1274933255,9,1,20
o4mini,t1,S06,S,lower,invalid,0,-1.547078236,-1.426835879,13.4,0.75,20
o4mini,t1,S06,S,lower,invalid,1,-0.2992819367,-0.141218742,12.55,1,20
o4mini,t1,S06,S,lower,invalid,2,-0.2548778064,-0.09546871779,23.3,0.8,20
o4mini,t1,S06,S,lower,valid,0,0.7497721244,0.9396322585,9.8,1,20
o4mini,t1,S06,S,lower,valid,1,0.9887821888,1.185886743,12.5,1,20
o4mini,t1,S06,S,lower,valid,2,0.9402594609,1.135893286,8.85,1,20
o4mini,t1,S07,S,raise,invalid,0,-1.448003246,-1.324757916,3.25,0.45,20
o4mini,t1,S07,S,raise,invalid,1,-0.7554783101,-0.6112424756,6.842105263,0.5789473684,19
o4mini,t1,S07,S,raise,invalid,2,-0.8317021695,-0.6897766883,5.75,0.8,20
o4mini,t1,S07,S,raise,valid,0,0.2473392401,0.4219705804,13.5,1,20
o4mini,t1,S07,S,raise,valid,1,0.681149763,0.868929946,6,1,20
o4mini,t1,S07,S,raise,valid,2,0.4503117533,0.6310952119,8.25,1,20
o4mini,t1,S08,S,lower,invalid,0,-2.287765605,-2.18997356,0,0,20
o4mini,t1,S08,S,lower,invalid,1,-1.869406666,-1.758934118,3.9,0.15,20
o4mini,t1,S08,S,lower,invalid,2,-1.381886096,-1.256636747,3.75,0.0625,16
o4mini,t1,S08,S,lower,valid,0,0.4844827452,0.6663019302,2.85,0.25,20
o4mini,t1,S08,S,lower,valid,1,0.3108930531,0.4874507162,12.35,1,20
o4mini,t1,S08,S,lower,valid,2,0.276933219,0.4524615559,5.05,0.85,20
o4mini,t2,L01,L,lower,invalid,0,-0.4526228008,-0.2992073838,13.7,0.65,20
o4mini,t2,L01,L,lower,invalid,1,-0.5161613549,-0.3646717982,1.6,0.15,20
o4mini,t2,L01,L,lower,invalid,2,0.02198581798,-0,6.25,0.5,20
o4mini,t2,L01,L,lower,valid,0,0.9109174147,1.10566188,17,1,20
o4mini,t2,L01,L,lower,valid,1,0.638557147,0.8250463434,7.1,0.95,20
o4mini,t2,L01,L,lower,valid,2,0.5649508707,0.7492090531,10,1,20
o4mini,t2,L02,L,lower,invalid,0,0.2579388753,-0,49.25,1,20
o4mini,t2,L02,L,lower,invalid,1,-1.223648157,-1.0936026,28.2,1,20
o4mini,t2,L02,L,lower,invalid,2,-0.8490118135,-0.7076109894,55,1,20
o4mini,t2,L02,L,lower,valid,0,1.061836309,1.261155142,31.75,1,20
o4mini,t2,L02,L,lower,valid,1,1.045662766,1.244491377,38,1,20
o4mini,t2,L02,L,lower,valid,2,0.5994479049,0.784751696,45,1,20
o4mini,t2,L03,L,lower,invalid,0,-1.773831523,-1.660462082,0.7894736842,0.05263157895,19
o4mini,t2,L03,L,lower,invalid,1,-0.7871840078,-0.6439091764,0.1,0,20
o4mini,t2,L03,L,lower,invalid,2,-1.980641407,-1.873540396,0.7,0,20
o4mini,t2,L03,L,lower,valid,0,1.164987368,1.36743272,47.05,1,20
o4mini,t2,L03,L,lower,valid,1,0.6480076708,0.8347833136,34.55,1,20
o4mini,t2,L03,L,lower,valid,2,0.8032085531,0.994688351,46.05,1,20
o4mini,t2,L04,L,lower,invalid,0,-0.2072257601,-0.04637233298,30.25,1,20
o4mini,t2,L04,L,lower,invalid,1,-0.1695742104,-0.007579560855,43.5,1,20
o4mini,t2,L04,L,lower,invalid,2,0.1793149208,-0,41.75,0.95,20
o4mini,t2,L04,L,lower,valid,0,1.204945496,1.408601983,33.35,1,20
o4mini,t2,L04,L,lower,valid,1,0.9558098629,1.151915023,58.15,1,20
o4mini,t2,L04,L,lower,valid,2,0.8595837174,1.052772253,50.6,1,20
o4mini,t2,L07,L,lower,invalid,0,-1.535117426,-1.414512536,5.555555556,0.7222222222,18
o4mini,t2,L07,L,lower,invalid,1,-0.05492443843,-0,4.15,0.35,20
o4mini,t2,L07,L,lower,invalid,2,-1.314157201,-1.186854983,0.85,0,20
o4mini,t2,L07,L,lower,valid,0,0.1171958415,0.2878825216,14.1,1,20
o4mini,t2,L07,L,lower,valid,1,0.6198225246,0.8057438726,10.1,1,20
o4mini,t2,L07,L,lower,valid,2,0.6013807252,0.7867431003,11.7,1,20
o4mini,t2,L08,L,raise,invalid,0,-0.04316769561,-0,17.3,0.95,20
o4mini,t2,L08,L,raise,invalid,1,-0.1124540915,-0,12.95,0.8,20
o4mini,t2,L08,L,raise,invalid,2,-0.9042421916,-0.7645154062,17.7,0.9,20
o4mini,t2,L08,L,raise,valid,0,0.2596045363,0.434607639,23.7,1,20
o4mini,t2,L08,L,raise,valid,1,0.65500929,0.8419971525,20.85,1,20
o4mini,t2,L08,L,raise,valid,2,0.6784983579,0.8661981766,24.1,1,20
o4mini,t2,M01,M,lower,invalid,0,-0.5335023363,-0.3825383866,24.9,1,20
o4mini,t2,M01,M,lower,invalid,1,-1.152397933,-1.020192774,27.9,1,20
o4mini,t2,M01,M,lower,invalid,2,-0.5159081947,-0.3644109648,11.45,0.9,20
o4mini,t2,M01,M,lower,valid,0,0.5344694223,0.7178037088,9.8,1,20
o4mini,t2,M01,M,lower,valid,1,0.642776388,0.82939347,10.3,1,20
o4mini,t2,M01,M,lower,valid,2,0.9146736258,1.109531942,10.1,1,20
o4mini,t2,M02,M,raise,invalid,0,-0.9722074921,-0.834540742,1.1,0.2,20
o4mini,t2,M02,M,raise,invalid,1,-1.985919931,-1.878978912,0,0,19
o4mini,t2,M02,M,raise,invalid,2,-1.685254323,-1.569200097,0.75,0.15,20
o4mini,t2,M02,M,raise,valid,0,-0.1493117595,0.01329704713,15.6,1,20
o4mini,t2,M02,M,raise,valid,1,0.003221028355,0.1704531199,14.35,1,20
o4mini,t2,M02,M,raise,valid,2,0.8341411025,1.026558469,13.6,1,20
o4mini,t2,M03,M,lower,invalid,0,-0.5388037605,-0.3880004975,20.7,0.85,20
o4mini,t2,M03,M,lower,invalid,1,-0.5125949551,-0.3609973005,26.8,0.95,20
o4mini,t2,M03,M,lower,invalid,2,-0.9350426931,-0.796249474,17.75,0.8,20
o4mini,t2,M03,M,lower,valid,0,1.142523083,1.344287541,30.95,1,20
o4mini,t2,M03,M,lower,valid,1,0.2227586748,0.3966449755,18.1,1,20
o4mini,t2,M03,M,lower,valid,2,0.5784484465,0.7631157419,17.85,1,20
o4mini,t2,M04,M,raise,invalid,0,-1.291567034,-1.163580106,-0.75,0,20
o4mini,t2,M04,M,raise,invalid,1,-2.325999896,-2.229366736,-3.25,0,20
o4mini,t2,M04,M,raise,invalid,2,-1.023091524,-0.886967074,0.2631578947,0.05263157895,19
o4mini,t2,M04,M,raise,valid,0,-0.1515163802,0.01102560412,17.85,1,20
o4mini,t2,M04,M,raise,valid,1,0.3866767764,0.5655314522,15.3,0.95,20
o4mini,t2,M04,M,raise,valid,2,0.7716382029,0.9621611001,11.25,1,20
o4mini,t2,M05,M,lower,invalid,0,-1.819289749,-1.707298152,32.85,1,20
o4mini,t2,M05,M,lower,invalid,1,0.03707874372,-0,59.73684211,1,19
o4mini,t2,M05,M,lower,invalid,2,-0.1715495042,-0.009614725938,29.85,0.9,20
o4mini,t2,M05,M,lower,valid,0,0.5392192855,0.7226975408,22.85,1,20
o4mini,t2,M05,M,lower,valid,1,0.1072985861,0.2776852794,12.15,1,20
o4mini,t2,M05,M,lower,valid,2,0.4985795323,0.6808259924,16.35,1,20
o4mini,t2,M06,M,lower,invalid,0,-0.04935847467,-0,57.75,1,20
o4mini,t2,M06,M,lower,invalid,1,-0.3156602732,-0.1580935076,59.25,1,20
o4mini,t2,M06,M,lower,invalid,2,0.1627385557,-0,55.21052632,1,19
o4mini,t2,M06,M,lower,valid,0,1.278531345,1.484418227,35.75,1,20
o4mini,t2,M06,M,lower,valid,1,0.9876727105,1.184743636,30.5,1,20
o4mini,t2,M06,M,lower,valid,2,0.8186373316,1.010584777,40.5,1,20
o4mini,t2,M07,M,lower,invalid,0,-0.1336688566,-0,6.95,0.25,20
o4mini,t2,M07,M,lower,invalid,1,-1.386530143,-1.261421556,1.5,0.05,20
o4mini,t2,M07,M,lower,invalid,2,-1.363278696,-1.237465356,32.7,1,20
o4mini,t2,M07,M,lower,valid,0,1.007936413,1.205621533,25.85,1,20
o4mini,t2,M07,M,lower,valid,1,1.390851163,1.60014247,26.85,1,20
o4mini,t2,M07,M,lower,valid,2,0.9763383667,1.173065747,22.85,1,20
o4mini,t2,M08,M,lower,invalid,0,-0.7521576925,-0.6078212098,38.05,1,20
o4mini,t2,M08,M,lower,invalid,1,-0.7243464813,-0.5791670378,35.05,1,20
o4mini,t2,M08,M,lower,invalid,2,-0.5471337696,-0.3965829901,33.45,0.95,20
o4mini,t2,M08,M,lower,valid,0,0.5082803181,0.6908208101,31.05,1,20
o4mini,t2,M08,M,lower,valid,1,0.8401669837,1.032766996,44.21052632,1,19
o4mini,t2,M08,M,lower,valid,2,0.4818753112,0.6636154646,50.05,1,20
o4mini,t2,S01,S,raise,invalid,0,-1.038328787,-0.9026661806,0.75,0.25,20
o4mini,t2,S01,S,raise,invalid,1,-2.404601949,-2.310351226,-2,0,20
o4mini,t2,S01,S,raise,invalid,2,-1.618280126,-1.500195905,-0.2631578947,0,19
o4mini,t2,S01,S,raise,valid,0,0.2118113049,0.3853657897,12.5,1,20
o4mini,t2,S01,S,raise,valid,1,0.226828395,0.4008380495,17.75,1,20
o4mini,t2,S01,S,raise,valid,2,0.7314525358,0.9207574012,10.25,1,20
o4mini,t2,S02,S,lower,invalid,0,-1.555736867,-1.435756954,22.3,0.85,20
o4mini,t2,S02,S,lower,invalid,1,-1.636377631,-1.518841948,31.2,0.95,20
o4mini,t2,S02,S,lower,invalid,2,-1.836953703,-1.725497502,35.05,1,20
o4mini,t2,S02,S,lower,valid,0,0.8768752785,1.070587923,27.55,1,20
o4mini,t2,S02,S,lower,valid,1,0.6923262685,0.8804452126,17.3,1,20
o4mini,t2,S02,S,lower,valid,2,0.6761479249,0.8637765018,21.3,1,20
o4mini,t2,S03,S,raise,invalid,0,-1.345321743,-1.218964125,15.9,0.85,20
o4mini,t2,S03,S,raise,invalid,1,-0.00768595632,-0,8.25,0.6,20
o4mini,t2,S03,S,raise,invalid,2,-0.7972483783,-0.654278599,0.25,0.05,20
o4mini,t2,S03,S,raise,valid,0,0.1026738634,0.2729203808,12.75,0.95,20
o4mini,t2,S03,S,raise,valid,1,0.506111619,0.6885863774,12.25,1,20
o4mini,t2,S03,S,raise,valid,2,0.5676872517,0.7520283741,14,1,20
o4mini,t2,S04,S,lower,invalid,0,-1.498308613,-1.376588044,4.3,0.05,20
o4mini,t2,S04,S,lower,invalid,1,-1.559375963,-1.439506352,13.45,0.15,20
o4mini,t2,S04,S,lower,invalid,2,-1.434758273,-1.311111486,0,0,20
o4mini,t2,S04,S,lower,valid,0,0.3994766913,0.5787193339,4,0.15,20
o4mini,t2,S04,S,lower,valid,1,-0.07804074551,0.08672829308,4.45,0.35,20
o4mini,t2,S04,S,lower,valid,2,0.9652701298,1.161662031,4.65,0.55,20
o4mini,t2,S05,S,raise,invalid,0,-1.877346403,-1.767114508,3,0.2,20
o4mini,t2,S05,S,raise,invalid,1,-1.505901138,-1.384410699,0,0,20
